Gene_name	filter
GZF1	+
THRA	+
XYLT2	+
TRNT1	+
EVC	+
SECISBP2	+
FOXI3	+
GJB5	+
TCOF1	+
ATP8B1	+
LFNG	+
TNC	+
RPGR	+
CNBP	+
SLC44A4	+
PDSS1	+
ST3GAL5	+
MITF	+
CDH23	+
BCS1L	+
TCIRG1	+
NOXO1	+
ACOX1	+
DACT1	+
ERBB4	+
PEX6	+
BEAN1	+
BTD	+
CREBBP	+
SALL1	+
SIX5	+
EP300	+
SLC52A2	+
OTX2	+
DNAH1	+
VANGL2	+
IARS2	+
CELSR1	+
NUP133	+
SOBP	+
DIAPH1	+
NF1	+
GRIFIN	-
CLIC6	-
ODF2	-
FBH1	-
ULK4P1	-
SBNO2	-
WDR41	-
WNT2	-
LINC01644	-
DDX58	-
LINC01647	-
PSPH	-
FAM47C	-
GASAL1	-
TMPRSS11A	-
CXCL3	-
NLRC3	-
KCTD19	-
NDUFAF7	-
FAM201B	-
LINC01413	-
LINC02864	-
DBX2	-
OPA3	-
DBIL5P	-
ACTL8	-
ATP12A	-
CYP4A11	-
SLC4A3	-
CKMT1A	-
SLC5A9	-
FAM131C	-
ZNF224	-
GPR158	-
TPRA1	-
E2F5	-
TBC1D28	-
SAMD12	-
GUCY1B1	-
INPP4A	-
WNT8A	-
PPARGC1B	-
TAGAP	-
KIAA2012-AS1	-
NUSAP1	-
SLC35G6	-
PELO	-
RLN3	-
IRF7	-
SECISBP2L	-
LINC02433	-
LINC00501	-
HADHB	-
ZSCAN2	-
ADNP	-
FAM13C	-
PCDHB6	-
LINC00290	-
ZNF85	-
PTX3	-
DHX37	-
MYOPARR	-
SH3PXD2A-AS1	-
PPP2R2C	-
RFNG	-
HDAC8	-
MLXIP	-
PNLIPRP3	-
VN1R10P	-
CDC42EP4	-
GPR174	-
DYTN	-
WDR49	-
FAM86EP	-
MIR647	-
MSANTD1	-
C2orf74	-
LINC01061	-
ACSM5	-
FRMD5	-
LINC00373	-
PIGT	-
RAB3A	-
STPG3	-
MIR1268B	-
ZNF300	-
COL25A1	-
FLACC1	-
ARNTL	-
CABS1	-
ATP5MPL	-
ZPLD1	-
PART1	-
PNMA6E	-
ZNF236	-
COL6A5	-
CALHM4	-
KDF1	-
EDARADD	-
EPHX2	-
LINC01243	-
CYSRT1	-
ARIH2	-
SEMG2	-
FRMD6	-
LINC00866	-
ZNF469	-
MIR548I2	-
LRRTM1	-
TGFB2	-
DCAF13	-
SUPT16H	-
RAB19	-
NUDT4P2	-
KCNRG	-
FAM66C	-
LONP2	-
PCAT18	-
KRTAP1-3	-
PBXIP1	-
OR10D3	-
BCAT1	-
NT5DC4	-
USO1	-
GIMAP1-GIMAP5	-
GMPS	-
USF3	-
LMF1	-
STAC3	-
PSEN2	-
STRN	-
CMTM8	-
ABCA5	-
TAFA4	-
C5orf34	-
LRG1	-
HLX-AS1	-
BRAF	-
TAS2R14	-
CCL3	-
MANEAL	-
MIR5194	-
RIOK2	-
GLE1	-
TDH	-
TNS2	-
LINC01350	-
RASA4DP	-
PDHX	-
PEX2	-
SAC3D1	-
KIF3B	-
HNRNPUL1	-
USP17L6P	-
SUSD1	-
SELENON	-
SEPTIN7P9	-
ADRM1	-
DPY19L2P4	-
SLC34A2	-
MOCS3	-
HDAC2-AS2	-
MIR5090	-
DELE1	-
ADHFE1	-
LINC02020	-
P2RX5	-
DTX2	-
PPIAL4C	-
PCNAP1	-
ZNF792	-
PCED1A	-
TMTC3	-
LATS2	-
PLPP7	-
KCNK3	-
FAM216A	-
LINC01423	-
CLMP	-
MICAL2	-
MICAL1	-
TMEM132B	-
DDX39B-AS1	-
HLA-DPB1	-
RASSF8-AS1	-
P3H2-AS1	-
BACH2	-
TOP3A	-
TOPAZ1	-
LINC01855	-
MICALCL	-
CLCF1	-
TIAM1	-
MIR3144	-
SERPINA13P	-
LINC00548	-
NHSL2	-
DNAH14	-
ZBED6CL	-
ZIC5	-
SH3GL1P2	-
RASA3	-
BTBD3	-
ABCC6	-
BANK1	-
WWC1	-
PRDM1	-
ALPG	-
PCGF6	-
ITGBL1	-
SLC7A4	-
C2CD3	-
SEPTIN4	-
FRG1BP	-
ZCCHC14	-
RPL23AP64	-
RFX4	-
TMEM241	-
JARID2	-
COL25A1-DT	-
C22orf24	-
DZIP1	-
PPIH	-
TTC28-AS1	-
LINC02450	-
DEFB103A	-
PAXIP1-AS2	-
TBC1D12	-
IFT122	-
MCM6	-
LINC01184	-
POM121L10P	-
FILIP1	-
ZNF227	-
TCAF2	-
SNORA38	-
KCTD8	-
MTMR2	-
HTR7P1	-
LINC00492	-
FTSJ3	-
ZSCAN1	-
SURF6	-
CTDSPL	-
SLC30A5	-
LSM14A	-
MAGEB16	-
LMO1	-
TNFAIP8	-
SYNC	-
FAM102A	-
OR14C36	-
SNHG18	-
WDR17	-
ZNF681	-
RGS6	-
BAGE2	-
GPSM1	-
LINC02474	-
LINC02523	-
GMNC	-
GRSF1	-
TLR6	-
FNDC8	-
LINC01822	-
LINC00163	-
DNAJB9	-
PSMD1	-
KARS1	-
LINC02263	-
PSCA	-
CECR2	-
ZNF251	-
NDST3	-
WFDC2	-
KLK14	-
CELSR3	-
KCNN4	-
PRAMEF2	-
MIR3156-3	-
SDE2	-
TPST1	-
LINC02517	-
TRIM23	-
SNAR-E	-
THRIL	-
ISL1	-
OPLAH	-
ZNF337-AS1	-
APIP	-
SCARNA20	-
LINC00535	-
INSL4	-
SERPIND1	-
TEX47	-
LBX1-AS1	-
LINC01497	-
TVP23B	-
TBL3	-
CCDC107	-
TFR2	-
TTC21B-AS1	-
FAM47B	-
MIER1	-
TYMP	-
USP3-AS1	-
C9orf147	-
KRT76	-
TRMO	-
GPCPD1	-
KIF5A	-
LHCGR	-
LINC00508	-
LURAP1L	-
DHX8	-
DPT	-
PITPNM1	-
PDE5A	-
SP100	-
MIR1302-10	-
LAPTM4A	-
STARD4-AS1	-
AXIN2	-
IFNA7	-
PRSS3	-
RNF220	-
FAM86B2	-
ABRAXAS1	-
B3GALNT1	-
RSU1P2	-
TUBGCP6	-
MIR3167	-
ESF1	-
LINC01192	-
LINC00951	-
KBTBD13	-
N4BP3	-
S100B	-
TMEM229B	-
TTLL3	-
DNAJC24	-
EIF4ENIF1	-
PIK3R6	-
ALK	-
RBM6	-
SLC12A4	-
AP3B2	-
CYP4F29P	-
PLCD3	-
TTC30B	-
WNT7A	-
OR4M1	-
GAREM2	-
KIF13B	-
RCHY1	-
PSTK	-
CYB561D1	-
IRX1	-
IMMT	-
FAM83B	-
PRAC2	-
OR2D3	-
SLC40A1	-
GJA1P1	-
PLPP4	-
SRPRA	-
ZNF646	-
INSYN2A	-
LY75-CD302	-
CA13	-
HPS6	-
EFL1P1	-
ARHGEF26-AS1	-
MSH2	-
ZNF618	-
GAN	-
STAM	-
CLN3	-
HBP1	-
CYP4V2	-
LINC01044	-
IQCA1L	-
LINC01012	-
LCE4A	-
SSX7	-
SYNE2	-
PAX7	-
GLRX5	-
TTLL9	-
LINC01723	-
REC114	-
CFAP73	-
TCF7L1-IT1	-
TMEM99	-
FAM160A2	-
XIAP	-
TLR1	-
CRABP1	-
LEO1	-
FIBCD1	-
ATP5F1B	-
DIAPH2-AS1	-
NMBR	-
GLTPD2	-
CTAGE15	-
CFHR3	-
CHN1	-
GPR155	-
LINC01433	-
STX6	-
APEX1	-
VSTM2A-OT1	-
UPK3B	-
ANKRD50	-
CRBN	-
FN1	-
HABP2	-
OR11H1	-
CCNB3	-
C21orf58	-
EFCAB14	-
CREB3L1	-
CAPRIN2	-
PDE4D	-
LINC02561	-
NICN1	-
LRP6	-
TAS2R7	-
ZNF830	-
MIR1269A	-
ZSCAN12P1	-
LINC01014	-
GLB1L	-
NPAS2	-
DHX32	-
HAUS5	-
FSBP	-
LINC02206	-
SYNE1-AS1	-
AIFM2	-
LINC02465	-
RHOBTB3	-
PLD5	-
PYROXD1	-
ADPRH	-
R3HDM1	-
OR9G9	-
SNX9	-
ATAT1	-
CFAP57	-
LINC00499	-
ENTPD2	-
LECT2	-
TRPA1	-
LINC01023	-
C9orf50	-
ABHD17B	-
PIK3R5	-
GNPAT	-
ADAD2	-
FRG2DP	-
ZNF610	-
SLC25A19	-
UGT2B10	-
C9orf72	-
ENPP2	-
NPHS2	-
NT5C	-
ZDHHC18	-
SACS-AS1	-
LINC02314	-
MIR4537	-
RAET1L	-
LINC01615	-
LMOD1	-
COL4A2-AS2	-
LINC01363	-
DMRTB1	-
BTC	-
SLC25A13	-
PLG	-
MPPED2	-
LIPG	-
RAB40AL	-
AIDA	-
FBP1	-
SURF2	-
DOT1L	-
POLR2H	-
ZCCHC13	-
NOMO1	-
SLC15A1	-
TDRP	-
TMEM201	-
PLEK2	-
CENPT	-
FAM186B	-
PON3	-
HDGFL1	-
PCDH18	-
RP9	-
STAT5B	-
ABCA7	-
LINC02745	-
ZNF239	-
GLOD4	-
MIOX	-
LINC01193	-
ATP7B	-
LINC02671	-
WASIR2	-
CECR7	-
BMP2K	-
ZNF679	-
ROPN1L	-
EBLN3P	-
SNORA89	-
GJC2	-
DNMBP	-
SDC2	-
MRPL39	-
ATXN3L	-
CLSTN2-AS1	-
ILVBL	-
DNTTIP2	-
MCUR1	-
THSD4-AS1	-
ADH1C	-
MISP	-
WFDC8	-
MAPT-IT1	-
KCNK10	-
LINC01378	-
LINC02735	-
DRD4	-
RUNX2	-
LINC01352	-
LINC01056	-
DDX59-AS1	-
RGS5	-
MIR4324	-
TNNI2	-
LINC00578	-
FRY	-
COL28A1	-
DAPK2	-
CHPF	-
PLSCR2	-
RTN4IP1	-
TEX29	-
TFAM	-
IPMK	-
IRAIN	-
USP17L2	-
CFAP61	-
SETD6	-
CCL15-CCL14	-
PHF14	-
TCN1	-
SALRNA2	-
CADPS2	-
ENTPD1-AS1	-
APBB1	-
ADGRL3	-
MROH7-TTC4	-
RPL26L1	-
TAS2R4	-
NINJ2	-
OR4C13	-
ZNF721	-
CFAP99	-
GLRA4	-
CACNA1G	-
FFAR2	-
HIC2	-
SLC2A7	-
RIOK1	-
VXN	-
MACROD2	-
FAM13A-AS1	-
TRAPPC12	-
TOP2B	-
LINC00905	-
MAGOH2P	-
PARD3B	-
TGM3	-
LINC01362	-
RASAL2	-
KEAP1	-
NDUFA8	-
SOS2	-
OSTM1-AS1	-
HOXC13-AS	-
SNORD100	-
KCNK7	-
TMED2	-
TYROBP	-
PCK2	-
PLEKHA3	-
KLHL7	-
TAAR2	-
LMLN2	-
TUBA3E	-
RGS1	-
LINC01448	-
INHBA-AS1	-
KCNK2	-
HAVCR2	-
ZNF695	-
IFIT2	-
SPATA22	-
FAM76A	-
SNPH	-
PIK3C3	-
METAP1D	-
RORA-AS1	-
LNCSRLR	-
MIR4428	-
SHANK2-AS3	-
MRPS36	-
BAZ2A	-
APOL5	-
ITPR1	-
RAB8B	-
SPAG16-DT	-
RPUSD3	-
TMEM91	-
RANBP6	-
FOXJ3	-
PRKCZ	-
PRSS36	-
IFT81	-
GUSBP2	-
TMPRSS11E	-
OASL	-
ITPR3	-
CLCA4-AS1	-
CYP2C18	-
HNF1B	-
PASD1	-
IDI2	-
CALHM5	-
LINC02412	-
PHF24	-
AMT	-
LINC01588	-
LINC02550	-
DCST1-AS1	-
PATE4	-
ERC1	-
MIR4539	-
ANO1	-
DDX11-AS1	-
ATP13A5-AS1	-
ABCC10	-
OR52B4	-
MAPK7	-
CACNG7	-
MLYCD	-
MED15P9	-
KRBOX1	-
ESPNP	-
BMP7	-
STARD13-AS	-
SLCO3A1	-
MIR6763	-
GABRA6	-
REC8	-
CRIM1	-
CYP4A22	-
OR2Z1	-
LINC01492	-
LINC02266	-
CCDC197	-
POLR2D	-
SLC25A39	-
SNORA9B	-
PSMB8	-
LINC00173	-
MOGAT2	-
TSPYL4	-
ARHGEF15	-
CABLES2	-
MSC-AS1	-
CCDC81	-
USP38	-
PML	-
PRIM2	-
ARL17A	-
TTC6	-
FBLL1	-
LINC01587	-
NKD2	-
NTN3	-
BMS1P2	-
ARL9	-
PLIN3	-
ZBED3-AS1	-
BCAP31	-
XKR9	-
ZNF37BP	-
ZNF629	-
ANAPC5	-
MIPEP	-
UBXN4	-
CHTF18	-
ELK1	-
LINC02226	-
FGF10-AS1	-
SNORD97	-
AGRN	-
PLCB1-IT1	-
FAM167B	-
TMA16	-
RADIL	-
MOSMO	-
PAXIP1	-
AKAIN1	-
SLC44A5	-
ZNF548	-
DIO2-AS1	-
ZNF835	-
METTL27	-
MUC17	-
ZNF75A	-
MEF2B	-
GATD1	-
TMBIM7P	-
CAP1	-
MIR3180-1	-
KCNH6	-
PIPSL	-
CBX2	-
LGSN	-
VAPB	-
RANBP17	-
ZDHHC20	-
LINC01094	-
SLC9C1	-
LINC02368	-
ERVMER34-1	-
LINC01180	-
CYTH3	-
MOV10L1	-
ABCB1	-
ACSM1	-
ANXA7	-
LINC02760	-
C1orf141	-
GRM4	-
CIITA	-
GGNBP1	-
MIR548N	-
VSX2	-
CORIN	-
PSMB9	-
TMEM252	-
NAMPT	-
DDX11L10	-
LINC00330	-
ST6GALNAC4	-
STK31	-
CDK13	-
FBXO10	-
LINC01760	-
MTPAP	-
SRSF4	-
TNNT1	-
SESN2	-
PLA2G4C-AS1	-
OR52E4	-
OVOL3	-
MRPS27	-
FADS3	-
LRRC32	-
ZBTB7B	-
IGFALS	-
RAB6C	-
SLC35F5	-
LARP4	-
TLE2	-
KCNG2	-
TNIP3	-
PCED1B-AS1	-
LIPE	-
HLA-J	-
LILRP2	-
SMG1P1	-
HERC5	-
DNAH6	-
FSCN2	-
COG8	-
ZNF460	-
RAD23A	-
SRGAP1	-
TMEM92-AS1	-
ARL10	-
EQTN	-
BAD	-
ADPRHL1	-
ASPG	-
DACT2	-
DENND6A-DT	-
LINC01748	-
ST6GALNAC1	-
LINC00933	-
LINC02608	-
C2CD2	-
LINC01167	-
MIR1203	-
PPP1R10	-
IL1R1	-
OGFRP1	-
GPS1	-
NUDT5	-
GSN	-
ZNF554	-
RABL6	-
HNF4A	-
OR5M10	-
NCF4-AS1	-
RALGAPB	-
CES4A	-
PHLPP1	-
TRIP13	-
C1QTNF1-AS1	-
ZNF624	-
LYRM4	-
VPREB3	-
ZNF488	-
DNM3-IT1	-
FUT4	-
SLC22A1	-
APOA5	-
C16orf95	-
ZER1	-
SERPING1	-
IFNAR1	-
TSPAN3	-
TSNARE1	-
LINC01883	-
NECAB1	-
LINC00957	-
CSH2	-
PRKAR1A	-
ACACA	-
RIMKLA	-
NPIPA7	-
GPR153	-
GOLGA2P7	-
CEACAM1	-
GKN1	-
WSB2	-
NAXD	-
RGS22	-
RTKN2	-
TPSG1	-
PROSER1	-
SNORC	-
TMEM223	-
DERL3	-
LINC01095	-
IL3	-
EPDR1	-
LDHB	-
MIR630	-
CEACAM6	-
LINC02443	-
RERG	-
MCMBP	-
PAMR1	-
DRD1	-
MIR449B	-
CHFR	-
PTPN6	-
ZNF333	-
SLC2A14	-
PERP	-
ZSCAN31	-
LINC02025	-
TRAPPC8	-
OR1E1	-
MT1L	-
MIR3689D1	-
LINC00943	-
RNF212B	-
ULBP3	-
SPATA17	-
ERCC8	-
HCCAT5	-
HADH	-
CYP24A1	-
GPATCH2L	-
MACC1	-
SLC12A1	-
STAP2	-
CD5L	-
HAGHL	-
KRTAP16-1	-
RYR3	-
KRT31	-
LINC01986	-
AVPR1B	-
LINC00471	-
KCNS1	-
ABAT	-
GREM1	-
MIR8062	-
CARD10	-
MTCH1	-
LY6G6E	-
PROB1	-
C1QC	-
TAF5	-
ABCA4	-
HIGD1C	-
LMBRD2	-
UBE3C	-
HELZ	-
LINC01375	-
MRC2	-
IL36RN	-
PCMT1	-
PTPRJ	-
LRRC66	-
IL21-AS1	-
CNTN5	-
MAP6	-
RPL23AP53	-
TRAPPC6A	-
LINC00261	-
LINC01366	-
MYH6	-
NPHP3	-
SYT5	-
SPATA3	-
CERT1	-
LINC00473	-
LINC02039	-
KDM5A	-
LINC00856	-
NOP2	-
COL23A1	-
POTEH	-
IGSF11-AS1	-
DBET	-
TAF1B	-
TMCO4	-
UBE2MP1	-
BCL2L15	-
SPRY4-AS1	-
MYO7B	-
OR51H1	-
LINC00533	-
AFG3L1P	-
LINC02421	-
UGT2B17	-
SPEM1	-
ZNF433	-
FTHL18	-
LINC02036	-
TRIM6	-
ACSL1	-
IL1F10	-
LINC01585	-
ASB3	-
TTC23	-
TMEM17	-
FEZF1	-
AKAP11	-
ANTXRL	-
DSCC1	-
LINC02211	-
LOH12CR2	-
MIR5700	-
PROX1	-
PLK3	-
KBTBD2	-
CCDC196	-
ATP2B2-IT2	-
CENPQ	-
ACD	-
MAT2B	-
ACOX2	-
TRIT1	-
LINC01563	-
P4HA3	-
TMEM53	-
KANSL2	-
ANKRD18DP	-
IPO11	-
RAD51C	-
ACADS	-
NADSYN1	-
C19orf33	-
FGFBP2	-
NRK	-
OAT	-
TAAR5	-
FPR3	-
IGSF9	-
SPICE1	-
LINC01391	-
CD180	-
LINC01945	-
ZNF256	-
C8orf49	-
RBFADN	-
TARBP1	-
CHD6	-
SPATA1	-
STK19	-
ENO4	-
LINC02647	-
MFF	-
GDNF-AS1	-
PPIAL4G	-
MIR548A1	-
ACP2	-
ALAD	-
LIFR-AS1	-
PARD3	-
CBWD1	-
ATF4	-
HBS1L	-
HNF4G	-
MRPL52	-
ZAP70	-
SMAD4	-
PAPOLB	-
MUC20	-
LINC01482	-
PLPPR4	-
ROCK2	-
TUBA4B	-
GXYLT1P3	-
DNMT3B	-
TENT5D	-
BIRC6	-
KRTAP9-6	-
FMO9P	-
PSPC1	-
LINC00970	-
LAMP2	-
ILRUN	-
STAT5A	-
TMEM185B	-
SLC30A8	-
C2CD4D	-
KDM5B	-
SNORD3F	-
SLC2A11	-
MGP	-
AVIL	-
DCBLD1	-
GOLGA6A	-
PPP1R12A	-
TRIM49D1	-
CHI3L2	-
CRTAC1	-
LZIC	-
OR8J1	-
CDH23-AS1	-
MIR1303	-
CAND1	-
LVRN	-
NPDC1	-
TIMM17A	-
ADAM22	-
LINC00640	-
UCN3	-
SUSD2	-
PDHB	-
TNFSF14	-
B4GALT2	-
WBP2NL	-
PDCD4	-
PALMD	-
KLHDC4	-
GCNT4	-
PTPRN2	-
MEN1	-
CFAP299	-
UBA6	-
SENP8	-
KRT77	-
MIR7-3HG	-
TMEM115	-
DCP2	-
LINC00368	-
DBNL	-
SMG1P6	-
FARP2	-
LINC02243	-
SLC16A12-AS1	-
KRT79	-
LINGO1	-
HHIPL1	-
PFN1	-
LINC02544	-
KHDC3L	-
LCE1E	-
LINC00705	-
C5orf38	-
FAM149A	-
LINC01569	-
SNORD115-11	-
SNORD17	-
LINC01128	-
OR13C9	-
SOX13	-
UCP3	-
SPPL2B	-
SLFN12L	-
NME3	-
PIP5KL1	-
GUCA2B	-
KRBOX1-AS1	-
PPP2R1A	-
LINC01729	-
INKA1	-
CLEC6A	-
ACSS2	-
ADGRD1	-
DPF3	-
GNAS	-
ANKRD11	-
KIR2DL2	-
MIR3689B	-
BIRC3	-
INE1	-
ADAM30	-
SIGIRR	-
TIMM17B	-
TDG	-
ETFDH	-
TMEM39B	-
MAPK8IP1P2	-
PIP5K1B	-
SMYD4	-
OR2A4	-
LINC00847	-
NR5A1	-
POGK	-
ZNF619	-
URGCP	-
CD34	-
CSPG5	-
MEGF6	-
RING1	-
CEBPA	-
AQP5	-
SMYD3	-
STRIP1	-
TAFA2	-
MIR3135B	-
LINC02731	-
KDM4D	-
RELT	-
GHRLOS	-
LINC01182	-
TCHH	-
ZNF266	-
PHF20	-
KCNJ13	-
SAMD4A	-
ABCC5-AS1	-
NES	-
PPP1R9A	-
EGF	-
PRSS55	-
BRDTP1	-
MC3R	-
FUT11	-
TRAPPC5	-
HSP90AB1	-
LINC01432	-
HID1-AS1	-
GRAMD1B	-
ALG12	-
PGLYRP4	-
DHRS7	-
MIR5197	-
PHACTR4	-
LINC00561	-
RIPK2	-
TNS3	-
MMADHC-DT	-
PRKAR1B	-
KCNQ1DN	-
KRTAP27-1	-
NRIP2	-
SEPTIN3	-
MKRN2	-
TSR1	-
CCDC93	-
NUTM2A	-
TMEM120A	-
TXK	-
ZNF454	-
SLC12A8	-
CBFA2T2	-
LINC02346	-
MYLK-AS1	-
PKMYT1	-
ADAM21	-
AIMP1	-
NPAS4	-
OR4K5	-
GLMN	-
SLC2A1	-
PSORS1C2	-
PHRF1	-
LINC01101	-
LINC02432	-
CLK2P1	-
LINC02148	-
PTGFRN	-
FBF1	-
PIDD1	-
ARHGEF5	-
KCTD18	-
LINC01377	-
LINC02506	-
ZNF728	-
SETDB2	-
FAM225A	-
TRAF3IP3	-
MYT1L-AS1	-
PRRC2A	-
LINC01090	-
LINC01499	-
CCND2	-
BMS1	-
RN7SL3	-
LINC00395	-
MS4A3	-
RNA28SN3	-
CCNY	-
LINC01216	-
THEM5	-
THUMPD3-AS1	-
DHFR2	-
PLBD1-AS1	-
